Item ID,Title,Item Type,Hyperlink,Total Views,Owner
3169a35583614a01bad20bbbc95f7893,Collaborative Australian Protected Areas Database (CAPAD) – Terrestrial,Feature Service,https://www.arcgis.com/home/item.html?id=3169a35583614a01bad20bbbc95f7893,2598,aus_digitalatlas
6ccd56c92bfe413e9886f8c3bed1cfaa,Collaborative Australian Protected Areas Database (CAPAD) – Marine,Feature Service,https://www.arcgis.com/home/item.html?id=6ccd56c92bfe413e9886f8c3bed1cfaa,2470,aus_digitalatlas
b6d25bb7f7a942f1bfa26c448c24b089,ABS ASGS Edition 3 - 2021 Local Government Areas,Feature Service,https://www.arcgis.com/home/item.html?id=b6d25bb7f7a942f1bfa26c448c24b089,2404,aus_digitalatlas
eb23eb1d4c83487baa147e8b4e0b41c2,Data and products,Hub Page,https://www.arcgis.com/home/item.html?id=eb23eb1d4c83487baa147e8b4e0b41c2,2224,aus_digitalatlas
96460473bf1e45e18fb1cc1cc55e9919,ABS Land and environment by 2021 LGA (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=96460473bf1e45e18fb1cc1cc55e9919,1837,aus_digitalatlas
0d925b2b25864fcaba196cc4c1f7a2e8,ABS Land and environment by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=0d925b2b25864fcaba196cc4c1f7a2e8,1801,aus_digitalatlas
6f951c75fa8249618640d6decda9b690,Electricity Transmission Lines,Feature Service,https://www.arcgis.com/home/item.html?id=6f951c75fa8249618640d6decda9b690,1567,aus_digitalatlas
c33a45b92bec4099b47a84cc6c74eb26,"Australia, World Heritage Areas",Feature Service,https://www.arcgis.com/home/item.html?id=c33a45b92bec4099b47a84cc6c74eb26,1530,aus_digitalatlas
d3b7b2e8aecb4f2685978e1fe74e6b8e,National Heritage List Spatial Database (NHL) - public,Feature Service,https://www.arcgis.com/home/item.html?id=d3b7b2e8aecb4f2685978e1fe74e6b8e,1451,aus_digitalatlas
da641e3dea2d41bbaf02685e73a101b0,Commonwealth Heritage List Spatial Database (CHL),Feature Service,https://www.arcgis.com/home/item.html?id=da641e3dea2d41bbaf02685e73a101b0,1443,aus_digitalatlas
69a72d06363d4aadbe816f8d25d0c098,Major Power Stations,Feature Service,https://www.arcgis.com/home/item.html?id=69a72d06363d4aadbe816f8d25d0c098,1436,aus_digitalatlas
becdf6d994ff49f0bcd501c14d63e97c,Gas Pipelines,Feature Service,https://www.arcgis.com/home/item.html?id=becdf6d994ff49f0bcd501c14d63e97c,1409,aus_digitalatlas
a560feb040514b1888ae6c88e574faae,Waste Management Facilities,Feature Service,https://www.arcgis.com/home/item.html?id=a560feb040514b1888ae6c88e574faae,1401,aus_digitalatlas
64f85ce0247a41969ea2e1d2ab57ebc5,Transmission Substations,Feature Service,https://www.arcgis.com/home/item.html?id=64f85ce0247a41969ea2e1d2ab57ebc5,1372,aus_digitalatlas
8c05770b08c24a789d3ba56728449474,Petrol Stations,Feature Service,https://www.arcgis.com/home/item.html?id=8c05770b08c24a789d3ba56728449474,1370,aus_digitalatlas
ce226ce26ed94a8f9b644b000cb8430e,Railway Stations,Feature Service,https://www.arcgis.com/home/item.html?id=ce226ce26ed94a8f9b644b000cb8430e,1366,aus_digitalatlas
c7167abeb9d540b386f792cc0ee1a719,Liquid Fuel Terminals,Feature Service,https://www.arcgis.com/home/item.html?id=c7167abeb9d540b386f792cc0ee1a719,1361,aus_digitalatlas
7a175322f02b4982960612fe610db918,Oil Pipelines,Feature Service,https://www.arcgis.com/home/item.html?id=7a175322f02b4982960612fe610db918,1347,aus_digitalatlas
97614ed98fc0419f8cb3fc1a0fa1b701,ABS ASGS Edition 3 - 2021 Statistical Area Level 2,Feature Service,https://www.arcgis.com/home/item.html?id=97614ed98fc0419f8cb3fc1a0fa1b701,1337,aus_digitalatlas
faeff3744d02441e896ca704a141fe95,ABS Estimated resident population 2001–2021 by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=faeff3744d02441e896ca704a141fe95,1077,aus_digitalatlas
56426e9f1b9345a7831ecf6f60d9e53b,ABS 2021 Census: Total personal income (weekly) by age by sex (G17C) by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=56426e9f1b9345a7831ecf6f60d9e53b,1048,aus_digitalatlas
556221e9abe648cd9ef21e033953903d,ABS Health and disability by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=556221e9abe648cd9ef21e033953903d,971,aus_digitalatlas
b264500888b14373bd18ba58efef06bf,ABS Population and people by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=b264500888b14373bd18ba58efef06bf,961,aus_digitalatlas
8e9126b0fb744c01975bd9e078f785f8,ABS Economy and industry by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=8e9126b0fb744c01975bd9e078f785f8,935,aus_digitalatlas
f7ae6b8c94434ef389c0259f86b357f6,National Roads,Feature Service,https://www.arcgis.com/home/item.html?id=f7ae6b8c94434ef389c0259f86b357f6,930,aus_digitalatlas
1ed86873b159447689822c60b7789407,ABS 2021 Census: Core activity need for assistance by age by sex by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=1ed86873b159447689822c60b7789407,904,aus_digitalatlas
20fa272f1fa74a73a15980d0aaa92110,ABS Building approvals from 2014–15 to 2021–22 by 2021 LGA (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=20fa272f1fa74a73a15980d0aaa92110,900,aus_digitalatlas
eece52c27bb8477fb1fd23f417af14ff,ABS 2021 Census: Total household income (weekly) by household composition by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=eece52c27bb8477fb1fd23f417af14ff,897,aus_digitalatlas
1d48c891b63b47c3b25452274cf6296f,Australian Hydrological Geospatial Fabric - Surface Catchments,Feature Service,https://www.arcgis.com/home/item.html?id=1d48c891b63b47c3b25452274cf6296f,879,aus_digitalatlas
a4d50c45e6474848881de4cadc13480f,Map viewer,Web Mapping Application,https://www.arcgis.com/home/item.html?id=a4d50c45e6474848881de4cadc13480f,867,aus_digitalatlas
88083b8a02364203884951de37bb80de,ABS Building approvals from 2014–15 to 2021–22 by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=88083b8a02364203884951de37bb80de,867,aus_digitalatlas
019e1fed4e9f429eaf9189a0a461ead5,ABS Estimated resident population 2001–2021 by 2021 LGA (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=019e1fed4e9f429eaf9189a0a461ead5,858,aus_digitalatlas
fe2899bb86cf4df59fafaeb88d13f00f,ABS 2021 Census: Total personal income (weekly) by age by sex (G17A) by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=fe2899bb86cf4df59fafaeb88d13f00f,857,aus_digitalatlas
f05e048f55334a3682fc834a821aea7a,ABS Population and people by 2021 LGA (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=f05e048f55334a3682fc834a821aea7a,851,aus_digitalatlas
dfca2861d5314abc955b8d4936dce4db,ABS 2021 Census: Indigenous status by age by sex by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=dfca2861d5314abc955b8d4936dce4db,851,aus_digitalatlas
e9d18cb3d1614ecd864b5e07eb788899,ABS Economy and industry by 2021 LGA (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=e9d18cb3d1614ecd864b5e07eb788899,849,aus_digitalatlas
8f6db324239e4e13a2c079fe056f766f,ABS 2021 Census: Selected person characteristics by sex by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=8f6db324239e4e13a2c079fe056f766f,849,aus_digitalatlas
60e9f5cb5c31419c8acc7dfd29d0728f,ABS 2021 Census: Rent (weekly) by landlord type by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=60e9f5cb5c31419c8acc7dfd29d0728f,847,aus_digitalatlas
28e7d4494cb642e3bb9a0b69775cbd4b,ABS 2021 Census: Number of motor vehicles by dwellings by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=28e7d4494cb642e3bb9a0b69775cbd4b,837,aus_digitalatlas
79149f0c0e1a4e27a37a8a224c0fdf09,ABS 2021 Census: Tenure and landlord type by dwelling structure by 2021 SA2 (Beta),Feature Service,https://www.arcgis.com/home/item.html?id=79149f0c0e1a4e27a37a8a224c0fdf09,836,aus_digitalatlas
